EmployeeID,Date,TimeIn,TimeOut
09952719243,May 1,08:00 AM,05:00 PM
09952719243,May 2,08:00 AM,05:00 PM
09952719243,May 3,08:00 AM,07:00 PM
09952719243,May 4,09:30 AM,05:00 PM
09952719243,May 5,08:00 AM,10:00 PM
09952719243,May 6,08:00 AM,12:00 PM
09952719243,May 7,10:00 AM,09:00 PM
09952719243,May 8,08:00 AM,05:00 PM
09952719243,May 9,01:00 PM,05:00 PM
09952719243,May 10,06:00 AM,06:00 PM
09952719243,May 11,08:01 AM,05:00 PM
09952719243,May 12,08:00 AM,04:59 PM
09952719243,May 13,05:00 AM,08:00 PM
09952719243,May 14,08:00 AM,05:00 PM
09952719243,May 15,08:00 AM,06:00 PM
